n001,n005,n009,n030,n070,n100,n500,n900
0.044214464,0.069744245,0.094261275,0.206728541,0.346854078,0.408367705,0.736842167,0.826372915
0.045275699,0.070024782,0.09636355,0.207271483,0.343185787,0.412719354,0.731183819,0.831583378
0.044726264,0.072812195,0.095917703,0.211176137,0.345497053,0.414320868,0.735670453,0.822780994
0.045060777,0.070880227,0.096341548,0.208037637,0.341775163,0.409408441,0.735655128,0.82907561
0.045269045,0.070364069,0.096359599,0.210867446,0.348181937,0.419993499,0.730226853,0.825304226
0.045154946,0.07309523,0.095520647,0.212245932,0.346134799,0.421978945,0.728407476,0.825573774
0.044503619,0.070074822,0.09755298,0.206927732,0.347068522,0.408897821,0.727112709,0.825473259
0.045020379,0.070487668,0.097245701,0.209651255,0.348196869,0.417614559,0.734803067,0.832420061
0.045366005,0.069296015,0.097796558,0.210100597,0.347016445,0.411611631,0.733890722,0.828107952
0.04472178,0.071174329,0.094149699,0.212467845,0.347533488,0.419035131,0.731912075,0.828949986